time	text	Annotator A	Annotator B	Annotator C
今天 08:00	期待个鬼，现在服务器就炸成这样，到时候还得分服务器给下棋，难顶	0	1	0
今天 00:25	话说为什么要和dota自走棋v社自走棋手游版巨鸟多多手游版一样？	0	0	0
今天 00:22	第一次这么反感一个新模式，真就撸啊撸自走棋呗。	0	0	0
6月10日 23:46	冠军杯赛都没测试好呢又要来？	0	0	0
6月10日 23:46	明白了，就是玩家选择英雄，然后人机对打。	0	0	0
6月10日 23:46	真香警告?哦	0	0	0
6月10日 23:45	果然腾讯出品	0	1	0
6月10日 23:45	性感联盟，在线走旗	0	0	0
6月10日 23:45	能把无限火力开了吗，我真没玩够，菜鸡就靠无限火力过瘾了	0	0	0
今天 09:14	赶紧把客户端跟服务器好好整整再上线自走棋吧	0	0	0
今天 06:41	希望没有任何随机性	0	0	0
今天 01:29	说真的，先别抄了，有时间多整整客户端吧，卡死。	0	1	0
今天 00:14	麻烦出个英雄传说，我想打牌	0	0	0
6月10日 23:44	什么时候有至臻客户端啊	0	0	0
今天 00:49	然后，出手游！卖皮肤！节假日卖礼包！出限定！搞比赛！卖周边！	0	1	0
6月10日 23:44	为什么要抄袭dota2？	0	1	1
6月10日 23:43	Lol自走棋？？？	0	1	0
今天 14:50	猫咪:？？？感觉有人在叫我	0	1	0
今天 13:15	为什么游戏又登不上去了	0	1	0
今天 12:34	冲冲冲！虽然是copy，但是我很想玩	0	0	0
今天 11:20	给爷搞快点	1	0	0
今天 10:30	有一种今天是愚人节的错觉	0	0	0
今天 10:08	为啥我看不懂...好像大家都很明白怎么玩的样子...害怕	0	0	0
今天 09:17	别在评论里面吠了，一边骂着腾讯不要脸，等出来的时候还不是要玩，打着你所谓的抄袭来的游戏？顺便氪着金冲装备皮肤，打脸妈？	1	1	1
今天 08:29	还不如出克隆	0	0	0
今天 07:14	祖安好像出问题了特别特别卡其它区都好好的	0	0	0
今天 06:49	不会侵权吗？？	0	0	0
今天 03:25	约起来哦	0	0	0
今天 00:31	所以呢这个到底怎么玩	0	0	0
今天 00:09	今之视君，恍若昨日。	0	0	0
6月10日 23:58	目前看，虽然这个很像dota自走棋，但我还是挺愿意玩LOL版的	0	0	0
6月10日 23:54	那我可以把dota删了	0	1	0
6月10日 23:51	dota的服务器已经无力吐槽了??，三天没玩自走棋了，我要把它卸了，绝不真香。	0	1	1
6月10日 23:50	在下电竞江流儿敢问谁能与我一战？	0	0	0
6月10日 23:46	你好，支持	0	0	0
6月10日 23:43	看着不像自走棋，像植物大战僵尸	0	0	0
6月10日 23:43	各位棋手准备好了吗	0	0	0
今天 09:22	客户端都卡成ppt了，进游戏都ppt，能修复吗？？？？	0	1	0
今天 12:11	tm的，位置都选完了，开始游戏点不了？	1	1	0
今天 08:29	偷就完事了	1	1	0
今天 01:19	我这个脑子是搞不懂的	0	0	0
今天 01:07	皮肤可以用吗？我要玩这个的话，之前皮肤白买了？	0	0	0
今天 00:58	别用信使，用眼位吧，我想用王思聪眼位，让他走哪他就走哪！	0	0	0
今天 00:38	我想摆一排璐璐	0	0	0
今天 00:07	请在七月之前上线，谢谢	0	0	0
今天 00:05	要变棋牌游戏了	0	0	0
今天 00:01	国服精粹商店什么时候会上啊	0	0	0
6月10日 23:54	啊！！！！撸妹儿你也出自走棋啦暑假玩起来！	0	0	0
6月10日 23:43	直接偷自走棋？？？	1	1	1
6月10日 23:44	蛮丢人的	0	1	1
今天 15:40	在？什么时候卖霸天剑魔的炫彩？	0	0	0
今天 15:35	这真的是新的尝试吗？最起码改一下界面好吧。	0	0	0
今天 14:10	为什么我游戏登陆进去游戏模式和PLAY的按钮都是灰色的，无法开始游戏呢	0	0	0
今天 13:56	玩过dota的自走棋，因为不是很熟悉英雄和装备，所以一直垫底...前期还能靠游戏天赋挣个第二第三什么的，然后玩着玩着就倒数第一了...蛮期待的	0	0	0
今天 13:50	字太多了，我觉得我的智商胜理解不了这个模式，算了我还是去大乱斗吧??	0	0	0
今天 13:16	我玩赤潮自走棋一段时间了，如果自走棋模式不出现在移动端那么将没有任何意义	0	0	0
今天 13:11	薅羊毛天天顶着一个羊薅，羊都成葛优头了，你说谁看不出来	0	1	0
今天 12:51	来个手游	0	0	0
今天 11:55	想要无限乱斗的顶起来啊	0	0	0
今天 11:45	蓝色精粹商店我比较关心	0	0	0
今天 11:37	在？优化一下服务器可好？	0	0	0
今天 11:15	可以修复一下自动切回桌面的bug马马	0	0	0
今天 11:06	我宣布王者荣耀没有抄袭lol	0	1	0
今天 10:47	这几天为什么我不能和同学组队玩游戏啊，重新登录了好多次了都不能玩	0	0	0
今天 10:30	手机能玩吗	0	0	0
今天 10:23	请排位玩家不要占用我们下棋玩家的服务器	0	0	0
今天 10:21	马上就是王者荣耀自走棋了	0	0	0
今天 10:21	多多岛地震中	0	0	0
今天 10:12	全是烟雾弹，你吞你马精粹商店	1	1	1
今天 10:11	辣鸡，抄袭	1	1	1
今天 10:11	搞你马马呢，精粹商店呢？	1	1	1
今天 10:07	lol要??？	0	0	0
今天 09:39	只求你出创意工坊	0	0	0
今天 09:35	辣鸡客户能整整吗？天天不是卡就是bug。进游戏都不卡，反而在你个客户端卡成狗，人游戏都给你做好了，你腾讯整个客户端都整不明白？	1	1	1
今天 09:26	能不能抓紧时间优化服务器，我们开黑没把结算都需要等待，要不就重新登陆，五个人组个队都要十几分钟才能好，坐标恕瑞玛	0	0	0
今天 09:18	会不会有老版本的英雄回来呢	0	0	0
今天 09:13	请问是手游吗	0	0	0
今天 09:11	牛批啊，本以为拳头酝酿什么大作呢，结果直接来个自走棋。果然是期望越高失望越大	0	0	0
今天 09:09	客户端现在怎么了？在游戏中显示在线，在线的显示游戏中，特么打个大乱斗还能显示已游戏54分钟？？？	0	0	0
今天 09:00	叮~三星亚索。	0	0	0
今天 08:54	地图会地震吗??	0	0	0
今天 08:23	这难道不是地下城虚无之境异界空间支配者伽乌尼斯LOLer也要来走格子了	0	0	0
今天 08:16	能把暴雪整死就好，加大力度	1	1	0
今天 08:14	看看老年人的下棋厉不厉害	0	0	0
今天 03:23	我想要的是无限火力啊，这种抄来抄去很没有意思啊	0	0	0
今天 02:39	法律上本身就是保护游戏内容不保护玩法的吧要不然moba就是一家独大	0	0	0
今天 02:38	听说自走棋火得很网易服务器总出问题那么我们lol客户端会怎样.....	0	0	0
今天 02:24	腾讯自走棋他lei了！，抄就完事了嗷	1	0	1
今天 01:25	亚索塞拉斯种族是快乐族？	0	0	0
今天 01:19	自走棋，启动！	0	0	0
今天 01:15	法律不保护思想所以玩法不构成抄袭所以，你只能以道德方面评价他，他该出还是能出	0	0	0
今天 00:45	求求你萌别逗我笑辣，你要说抄战三国啥的确实是，抄自走棋？??不是你起源都搞不清楚来bb人家抄袭？这类游戏要追根溯源也是战三国或者神奇宝贝防卫战的事，跟自走棋有个锤子关系？	0	0	0
今天 00:38	好像很有趣期待一哈，不好玩就继续我的带乱斗	0	0	0
今天 00:35	这自走棋的服务器迟早要凉当初pubg出来的时候不是一堆人喷？我寻思也妹区别啊玩家只会玩好的那一个	0	0	0
今天 00:32	对拳头这个公司很失望，十年磨一剑磨出来就是这个?真就是毫无创新能力只会抢别人吃剩的呗?烂饭还是香……只是同时作为lol和自走棋深度玩家的我对拳头这家公司感到了深深地悲哀。	0	0	0
今天 00:20	希望能兼容mac的osx系统	0	0	0
今天 00:17	没意思嗷，不如把极限闪击开了，说好的极限闪击永久上线？还打算开排位，现在看来开你马，说的话当放屁一样	1	0	1
今天 00:17	那客户端真的还塞得下这么多玩法吗	0	0	0
今天 00:16	出人机模式马？否则？从聊天服务器断开连接…	0	0	0
今天 00:13	你们怎么不说赤潮自走棋和平安京麻将呢？LOL怎么就不能出这个模式了？	0	0	0
6月10日 23:59	国服这客户端还是别玩了8	0	0	0
6月10日 23:59	虚什么都是两条腿走路是不是也算抄袭	0	0	0
6月10日 23:59	你要是敢上线两周就进入轮换我就把符文全融了	0	0	0
6月10日 23:58	这次是不是原班人马	0	0	0
6月10日 23:57	说抄袭的意思是这种模式是暴雪首创马我知道了，我小学玩的英雄无敌一定是坐时光机穿越抄袭了	0	1	1
6月10日 23:57	抄抄抄!	1	1	1
6月10日 23:56	一个字抄	1	1	1
6月10日 23:56	能要点脸不？你们不要，我们这些还在玩101的要啊	0	1	1
6月10日 23:56	不愧为公平正直创新的腾讯	0	1	0
6月10日 23:51	你就是塞拉斯？	0	1	0
6月10日 23:50	我只想知道什么时候无限火力	0	0	0
6月10日 23:46	风暴英雄让我快乐	0	0	0
6月10日 23:46	说起来beta测试，之前一直说的冠军杯赛什么时候弄好啊	0	0	0
6月10日 23:46	"bulingbuluo,我是个机器人"	0	0	0
6月10日 23:43	请问暑假会有转区打折吗，谢谢	0	0	0
6月10日 23:43	自走棋，英雄联盟版	0	0	0
今天 02:00	？？？吃相难看，至少改点东西好吗	0	1	1
今天 01:46	图片评论	0	0	0
今天 01:41	巨鸟多多原班人马亲力打造，lolautochess	0	1	0
今天 00:51	什么都抄，抄你妈币	1	1	1
15分钟前	LOL自走棋？	0	0	0
今天 16:15	腾讯的？	0	0	0
今天 14:37	就是这样！搓搓手！//:Dota2自走棋看不懂英雄，来英雄联盟就懂了，哈哈哈，冲！！！！	0	0	0
今天 14:23	LOL自走棋即将上线，兄弟萌冲冲冲！	0	0	0
今天 13:40	工作室一群人辛辛苦苦想出的游戏模式和成功的作品，真就被摘桃子啊。佩服佩服，也都是群要钱不要脸的人，希望中国能有更多好游戏出现，其中能看到你们自己独立开发的作品	0	0	0
今天 13:39	无限乱斗什么时候推出	0	0	0
今天 13:38	精粹商店呢	0	0	0
今天 12:54	司马腾讯抄袭我dota自走棋！真香	0	1	1
今天 12:36	下班后可以下棋了	0	0	0
今天 12:21	老年慢手速佛系玩家福音	0	0	0
今天 12:06	wocao了，这啥破客户端啊？除了训练新手教程其他都玩不了吗？	1	0	1
今天 12:04	?????♀?	0	0	0
今天 12:02	这次真的来了！英雄联盟自走棋	0	0	0
今天 11:53	1v1？那我永远赢不了了，还是大乱斗吧	0	0	0
今天 11:52	你要是敢嵌在客户端上搞出一堆bug。你马就没了孤儿玩意。天天自己客户端不修搞七搞八	1	0	1
今天 11:33	建议手机端	0	0	0
今天 11:05	英雄联盟新模式成了电竞圈一大盛事了，不说点啥显得out了？坐等大型真香现场	0	0	0
今天 11:03	麻烦那些手残党理论知识狗速速的去玩lol的自走棋！别来影响我们正常的游戏体验！	0	0	0
今天 11:01	英雄联盟新模式成了电竞圈一大盛事了？不说点啥显得out了？坐等真香现场	0	0	0
今天 10:53	客户端能行？？？	0	0	0
今天 10:50	啊啊啊啊啊啊啊啊，请快点上线	0	0	0
今天 10:45	至臻客户端啥时候出?	0	0	0
今天 10:43	doit	0	0	0
今天 10:28	？鹅厂没人了？人均塞拉斯？	0	1	0
今天 10:08	只希望客户端搞搞好别TM整天错误然后别像D2服务器一样下棋十分钟排队半小时	1	0	1
今天 10:05	那我玩那么久dota自走是为的什么??	0	0	0
今天 10:03	看不懂。。	0	0	0
今天 09:54	我只希望能用皮肤??我自己的皮肤	0	0	0
今天 09:46	感人终于出新模式了	0	0	0
今天 09:43	以后匹配玩累了就下两把棋，棋下累了就来两把匹配，岂不美哉	0	0	0
今天 09:32	期待！！！！！	0	0	0
今天 09:28	来了来了它真的来了	0	0	0
今天 09:27	更侧重策略的模式来辽！	0	0	0
今天 09:25	emmm…三星亚索杀他全家？	0	0	0
今天 09:21	刀塔原班人马打造，英雄战棋他来了	0	0	0
今天 09:19	请加带力度	0	0	0
今天 09:19	啊啊啊啊啊超级期待，快点出！！！我6辅助3射手怎么样？	0	0	0
今天 09:16	怪不得多多岛地震了原来在这	0	0	0
今天 09:06	笑尿有趣	0	0	0
今天 09:02	花里胡哨的搞那么多，客户端烂的像***	1	1	1
今天 08:51	我好了我的BP能去打S赛嗷	0	0	0
今天 08:33	lol自走棋？??老年养生模式开启	0	0	0
今天 08:32	那我终于可以玩英雄联盟了	0	0	0
今天 08:29	抄不抄不知道，哪个好玩玩哪个，对我们玩家来说是好事，期待就完事了，兄弟萌	0	0	0
今天 08:29	千呼萬喚屎出來你都不出來，終於現在出來了	0	1	0
今天 08:26	请马上上线。	0	0	0
今天 08:26	出个手游模式吧！	0	0	0
今天 08:24	骑手能上炫彩皮肤，和至臻皮肤吗？我想更尊贵一点	0	0	0
今天 08:24	不忘初心，方得始终。	0	0	0
今天 08:17	你是一个成熟的游戏了，你明白玩家只喜欢什么模式的。	0	0	0
今天 08:12	一直吉格斯怎么办啊	0	0	0
今天 08:06	抄就完事了麻烦快点上线	0	0	1
今天 08:00	对不起，我活不下去！	0	0	0
今天 07:58	哎太可怕了	0	0	0
今天 07:51	不充值买皮肤拥有钞能力，你还想白嫖2?？	0	0	0
今天 07:47	LOL自走棋？不买皮肤还想白嫖2?？	0	0	0
今天 07:43	？？？我敲？？？	0	0	0
今天 07:40	会有手游同步上吗	0	0	0
今天 07:37	挺好的啊，刀塔的我不熟悉，所以他的自走棋我不喜欢玩，lol也出自走棋，可以尝试一下	0	0	0
今天 07:35	感觉还挺好玩哒	0	0	0
今天 07:34	你就抄吧。。。	0	1	0
今天 07:33	我想说1对1我心态不是要崩了平时都是靠队友打输出的！！！	0	0	0
今天 07:17	放着我来！	0	0	0
今天 07:11	客户端的bug成天修复不明白一天到晚净搞些花里胡哨的	0	0	0
今天 07:06	目测要把自走棋拍在沙滩上	0	0	0
今天 06:55	三狗头组合地狱阿努比斯	0	0	0
今天 06:40	克隆模式	0	0	0
今天 06:12	到时候看看这些说抄袭的人能不能逃过真香定律了	0	0	0
今天 06:01	ohnice兄弟	0	0	0
今天 05:25	不错，各有各的选择，那些支持“正版”的快去玩巨鸟多多，顺便帮减轻服务器压力	0	0	0
今天 04:48	不希望上线太快，做的越细越好建模再搞搞现在这样没法看	0	0	0
今天 03:57	能不能把服务器问题处理一下这游戏一选英雄就卡住然后秒退	0	0	0
今天 03:30	？？？？	0	0	0
今天 02:57	这也抄？	0	1	1
今天 02:08	花里胡哨	0	0	0
今天 01:59	我可以一排亚索吗	0	0	0
今天 01:50	有意思了，英雄联盟自走棋来了	0	0	0
今天 01:41	撸撸自走棋？	0	0	0
今天 01:38	这种用脑子的战略游戏玩不来	0	0	0
今天 01:37	联盟也开始跟随潮流了	0	0	0
今天 01:20	英雄联盟自走棋成了	0	0	0
今天 01:17	这个真的就流批了。之前看别人下自走棋根本看不懂	0	0	0
今天 01:15	老年棋手，坐等上线	0	0	0
今天 01:06	秀秀秀撸妹就是晚上不睡觉一直搞事情	0	0	0
今天 01:00	腾讯：这个真不怪我，拳头自己动的手	0	0	0
今天 01:00	你们可以让观战系统弄好点了吗？我不太想玩游戏就是喜欢看别人打	0	0	0
今天 00:55	gkdgkd	0	0	0
今天 00:47	从dota中来，到dota中去	0	0	0
今天 00:44	设计者是不是塞拉斯设计师	0	1	0
今天 00:37	换头像吧，	0	0	0
今天 00:35	嗨呀，我最爱的lol自走棋来啦！！我要回归了	0	0	0
今天 00:33	能用皮肤不	0	0	0
今天 00:28	再也不用怕被队友骂菜咯	0	0	0
今天 00:25	来了来了来了来了	0	0	0
9分钟前	不会只上线一段时间吧，。	0	0	0
43分钟前	这个模式我觉得很适合你	0	0	0
46分钟前	感觉没时间和兴趣来适应这些新东西了	0	0	0
47分钟前	英雄战棋为什么要和DOTA自走棋一样？	0	0	0
47分钟前	希望能在旗子上用皮肤	0	0	0
今天 16:24	求求你修一下服务器好吗	0	0	0
今天 16:06	希望你的服务器比隔壁dota的优秀一些，这样我就可以放心转战了。别最后像隔壁一样搞得lol玩家和下棋玩家因为服务器吵起来，再时不时地个震啥的	0	0	0
今天 16:04	什么时候有无限火力	0	0	0
今天 16:00	塞拉斯甩大就跑	0	0	0
6月10日 23:44	这个我lol玩家都不知道怎么洗	0	0	0
今天 15:41	你会唱小星星吗？	0	0	0
今天 16:17	死兆nm破b服务器不好好整整天想着限定	1	1	1
26分钟前	遇到劫，你还有机会说话？	0	0	0
今天 15:30	话痨烬，你怎么介个亚子！会被打的	0	0	0
今天 15:50	带艺术家烬	0	0	0
今天 15:44	谁不爱他呢	0	0	0
今天 15:39	蓝色精粹商店什么时候上线？？	0	0	0
今天 15:48	我真的好喜欢烬噢	0	0	0
今天 16:10	精粹商店？	0	0	0
今天 15:30	劫你太完美了	0	0	0
今天 15:45	问一下什么时候橙色精粹可以换蓝色精粹啊？我特么20w橙色精粹屁用没有	0	0	0
今天 15:50	撸妹也逐渐带化？	0	0	0
今天 16:22	带艺术家？	0	0	0
今天 15:29	时间幻变如海流，广袤于我眼前。悄声道：烬我们是你的真容。这个台词也太棒了8，真带文豪	0	0	0
今天 15:30	嘴臭烬你来了	0	0	0
今天 15:33	死兆星卡尔玛？	0	0	0
今天 15:39	我拜托腾讯能不能把游戏客户端做好，别一天到晚就知道买皮肤赚钱，还没赚够嘛！！我同一台电脑玩韩服，台服要多就多流畅，国服就是卡的要死，我拜托你别在客户端上绑定太多东西，就不能简洁点？	0	0	0
24分钟前	噢劫你太完美了！	0	0	0
今天 15:55	这个皮肤特效还是只有自己能看吗	0	0	0
今天 15:31	带艺术家海星	0	0	0
今天 15:30	说那么多，最后还不是第四发把别人带走	0	0	0
今天 15:40	美服都上过了。国服还一点消息没有。诶~	0	0	0
今天 15:29	有那种甜甜的美少女吗实在不行仙女也行打一场紧张刺激的排位赛~	0	0	0
今天 15:55	一个做游戏的天天不好好做游戏，一个客户端天天泵，天天想着卖你妈皮肤，想着怎么挣钱。	1	0	1
35分钟前	吹爆这次的配音老师，另外这是最好看的重生动画	0	0	0
今天 16:05	反派死于话多	0	0	0
今天 16:01	卡尔玛是限定吗	0	0	0
今天 15:39	在？什么时候卖霸天剑魔的炫彩	0	0	0
今天 15:34	啥时候上线	0	0	0
今天 15:34	在星光里嬉戏？你就算是百分百胜率你莫怕是忘了那s8吧	0	0	0
今天 15:31	你怎么敢对凯隐说那种话的	0	0	0
今天 15:40	我的客户端已经崩一周了，要不然ban不了英雄，要不然选不了英雄，各种被强退，关键还扣分	0	0	0
今天 15:55	别比比，啥时候上架	0	0	0
55分钟前	所以什么时候上架啊	0	0	0
今天 15:29	我一直都不知道，为什么英雄这么多语音，我玩游戏的时候一句都听不到	0	0	0
7分钟前	你就是狗粉丝？无内鬼GKD嗷	1	0	1
13分钟前	一闪一闪亮晶晶	0	0	0
24分钟前	进了游戏自己咋死的都不知道。。还搁这儿吹牛逼呢	0	0	0
31分钟前	特效炸裂	0	0	0
51分钟前	声优都是怪物	0	0	0
今天 15:52	虽然这个月只有两百多块钱了，但是我愿意拿出99买这个皮肤	0	0	0
今天 15:40	卡特死好多次啊。。。。。	0	0	0
今天 15:35	烬是最爱的ad没有之一嗷	0	0	0
今天 15:31	能不能把服务器搞一下打个排位选英雄都能出bug	0	0	0
今天 15:31	哭了！！！	0	0	0
30秒前	烬你太美～	0	0	0
3分钟前	开局嘴炮？怕不是被对面五个人追着打吧	0	0	0
5分钟前	在？精粹商店	0	0	0
13分钟前	带艺术家	0	0	0
20分钟前	只有我一个人天天吉格斯神秘商店？	0	0	0
22分钟前	黑色玫瑰，这不管？	0	0	0
26分钟前	你已不在，唯美长存	0	0	0
28分钟前	又是一杆喷子。	0	0	0
28分钟前	居然敢嘲讽凯隐和劫，胆子真大	0	0	0
31分钟前	什么时候上架喔	0	0	0
31分钟前	今年的泳池派对是哪几个	0	0	0
38分钟前	今年会有泳池吗？	0	0	0
41分钟前	求求你们了，客户端和服务器搞一搞吧	0	0	0
47分钟前	锤石被终极嫌弃	0	0	0
47分钟前	建议出一个药水哥-烬的皮肤，艺术家夸次元互动	0	0	0
49分钟前	批话真多哪个秒你不是跟玩一样	1	0	1
50分钟前	我佛了，101官博也是狗粉丝	1	0	0
54分钟前	求求你回复一下我的私信，英雄联盟内置语音一直显示无法使用，卸载游戏重新下载也不行，能不能解决啊	0	0	0
56分钟前	劫:跟谁俩呢？	0	0	0
56分钟前	像你mp哲学家写散文一样，滚滚滚	1	1	1
59分钟前	大招特效别人看不到的话这皮肤属实没什么亮点了	0	0	0
59分钟前	你也太批爆了吧，好好说话成不？	1	0	1
60分钟前	带艺术家？？？	0	0	0
今天 16:29	玩你个吗啊！！！！！！！又3000延迟??又是诺克萨斯??！！！	1	1	0
今天 16:22	我是真你吗隔壁的服了??全网吧??就我诺克萨斯3000多延迟??我真是透了你马啊	1	1	1
今天 16:21	带艺术家，烬，爱了，本来他就有超多语音，这新皮肤又加了一两百条	0	0	0
今天 16:21	我只听出来霞洛也要出死兆星了	0	0	0
13分钟前	啥时候上线啊	0	0	0
今天 16:28	烬有这么啰嗦？	0	0	0
今天 16:18	征服之海服务器游戏全体掉帧怎么回事	0	0	0
今天 16:14	乱封号不解决只会出皮肤	0	0	0
今天 16:02	别整没用的，精粹商店？	0	0	0
今天 16:02	在？黑皮农妇为什么又限定？	0	0	0
今天 16:12	那么在哪里可以娶到死兆星烬呢？	0	0	0
今天 16:00	有没有大概上架时间准备好零钱	0	0	0
今天 15:51	这是要加强的节奏	0	0	0
今天 15:51	神祇吧？	0	0	0
今天 15:50	为什么啊啊啊啊啊啊我进不了英雄啊啊啊啊啊给个解释好不好啊啊啊啊啊啊	0	0	0
今天 15:49	那问题来了多久上线～	0	0	0
今天 15:49	在？我的客户端又炸了	0	0	0
今天 15:47	感觉还没有原皮肤语音听着好看	0	0	0
今天 15:47	服务器修修吧直播皮肤游戏？	0	0	0
今天 15:43	好惨卡特	0	0	0
今天 15:42	也就嘴上痛快了，真看见剑圣螳螂跑得比谁都快	0	0	0
今天 15:41	那么，什么时候才上线呢？	0	0	0
今天 15:41	这个皮肤是真的吵	0	0	0
今天 15:41	我爱你啊啊啊啊啊呜呜呜呜呜呜呜	0	0	0
今天 15:40	跟同学开黑房间里有他没我有我没他，还莫名其妙显示没接受游戏服务器牛逼嗷	0	0	0
今天 15:40	不知道上手感觉如何，单看视频里面，感觉这个普通攻击是真的别扭	0	0	0
今天 15:40	熵没有道理可讲	0	0	0
今天 15:39	我懂了，官方也搞抽象？	0	0	0
今天 15:39	卡特做错了什么	0	0	0
今天 15:37	官博说抽象话？	0	0	0
今天 15:37	总感觉烬在吐口水	0	0	0
今天 15:36	烬的语音每个这么长吗？到他被秒的时间里好像说不完呀	0	0	0
今天 15:35	这动作...只有我觉得有点好笑吗??	0	0	0
今天 15:35	带艺术家？撸妹也是狗粉丝我佛了	1	0	1
今天 15:34	我看他吐了好多口痰	0	0	0
今天 16:24	nmlgb整天就知道卖皮肤不知道出个死兆星客户端？	1	1	1
今天 15:32	妲己陪你玩	0	0	0
今天 15:31	在？精粹商店？	0	0	0
今天 15:31	挑衅的哪一个战士刺客切不死烬呢	0	0	0
今天 15:30	烬你太美	0	0	0
今天 15:30	谁不爱这个男人呢	0	0	0
今天 15:30	干一下嗷	0	0	0
今天 15:30	啊啊啊啊买爆！！！！买买买	0	0	0
今天 15:30	烬和克烈是真的话唠	0	0	0
今天 15:30	买买买，买还不行吗	0	0	0
今天 15:29	烬的这个声音也太好听了叭	0	0	0
今天 15:29	买他妈的！！！！	0	0	1
今天 15:41	怕是个话唠吧	0	0	0
今天 15:37	什么时候我才能不反向大	0	0	0
今天 15:34	死兆星模式啥时候上线	0	0	0
7分钟前	精粹商店被你亲妈吃了？？？	1	1	1
14分钟前	我真的很想投诉你们的三分钟重开这个东西，有的人，明明就掉线了，却还是不能三分钟投降，不知道有多少人被这样折磨过，我没投诉是因为你们压根就不会管，我一个人力量有限，这条信息你爱看不看吧	0	0	0
