time	text	annotator A	annotator B	annotator C	
5月23日 00:44	虽然我也不喜欢USERNAME这个角色，但是墨汁USERNAME还是很可爱的！我发现墨汁USERNAME是个超级沙雕逗比现在大家有点为了黑而黑了大力要站出来发声了！?????墨汁USERNAME躺枪中	0	0	0	
5月20日 14:35	我觉得这个USERNAME演的挺好呀	0	0	0	
5月20日 14:37	USERNAME这件衬衫裙挺好看，USERNAME有链接吗	0	0	0	
5月20日 08:11	可以！非常可以！	0	0	0	
5月20日 08:03	USERNAME我觉得你演的很好加油鸭	0	0	0	
5月20日 07:31	USERNAME求生欲太强了hhhh	0	0	0	
5月20日 02:52	因为一句台词哈哈哈哈哈大家伙儿都没安全感了USERNAME不容易观众还是挺理智的	0	0	0	
5月20日 02:22	哈哈哈观众都讨厌USERNAME证明USERNAME姐演得好啊	0	0	0	
5月20日 00:44	哈哈哈哈哈哈你太可怜了已加入最惨演员豪华午餐	0	0	0	
5月20日 00:02	USERNAME加油!	0	0	0	
5月20日 00:01	啊哈哈哈哈哈	0	0	0	
5月19日 23:51	USERNAME我觉得你和USERNAME在一起吧	0	0	0	
5月19日 23:38	抱抱USERNAME。	0	0	0	
5月19日 23:34	USERNAME腿真长，真漂亮	0	0	0	
5月19日 23:31	USERNAME这强大的求生欲啊，哈哈，都是编剧的错，咱不背这个锅	0	0	0	
5月19日 23:27	USERNAME加油呀！USERNAME也加油呀！	0	0	0	
5月19日 23:24	求生欲拉满了hhh	0	0	0	
5月19日 23:17	USERNAME有点可爱鸭??剧粉针对剧情不针对你噢??希望USERNAME不要伤心介意	0	0	0	
5月19日 23:17	姐姐不哭哭了我带你去找杜亚修！！！！	0	0	0	
5月19日 23:15	USERNAME以后可有用了还找蔡小玲	0	0	0	
5月19日 23:04	心疼USERNAME	0	0	0	
5月19日 23:02	满满的求生欲啊！	0	0	0	
5月19日 23:00	USERNAME可爱???	0	0	0	
5月19日 22:54	千万别有感情戏拜托了千万别有别找USERNAME求她了求她了[求]	0	0	0	
5月19日 22:54	USERNAME也没说什么啊，给个USERNAME抱抱	0	0	0	
5月19日 22:50	我真的觉得USERNAME不能和USERNAME在一起太乱了吧这样也接受不了	0	0	0	
5月19日 22:49	自己吐槽自己啦	0	0	0	
5月19日 22:48	哈哈哈哈哈哈姐你这强大的求生欲啊	0	0	0	
5月19日 22:48	也不知道说什么抱抱USERNAME吧	0	0	0	
5月19日 22:47	不想USERNAME有感情线	0	0	0	
5月19日 22:46	我爸我妈看USERNAME看的都要快进	1	0	1	
5月19日 22:45	博主好搞笑，就是想点赞	0	0	0	
5月19日 22:45	求生欲很强了	0	0	0	
5月19日 22:44	哈哈，不是演员真人，只是对USERNAME这个角色，我们很尊重每一位演员的精彩表演	0	0	0	
5月19日 22:43	USERNAME没问题啊，就是一个普通女孩遇到这么些事的状态呀，要是搁我身上，我早就举家搬迁，早跑了(?Д?)?，哪还有精力去帮着找线索	0	0	0	
5月19日 22:43	USERNAME满满的求生欲USERNAME这个角色也是一直在推进继续追查五一三案主演们采访都说了没有感情线的	0	0	0	
5月19日 22:41	觉得胜武演技真好	0	0	0	
5月19日 22:41	抱抱USERNAME	0	0	0	
5月19日 22:41	没事你还有我抱抱你回家继续吃好喝好长生不老	0	0	0	
5月19日 22:41	安全感我也可以给你，你来找我吧	0	0	0	
5月19日 22:40	USERNAME我可以的	0	0	0	
5月19日 22:40	USERNAME真的太让我糟心了！！！??我好想去教育教育她	0	0	0	
5月19日 22:40	我找不到线索啊	0	0	0	
5月19日 22:40	他不要你，我要你	0	0	0	
5月19日 22:40	求生欲超强哈哈哈哈哈	0	0	0	
5月19日 22:40	你懂什么，怎么的就怪编剧呗	0	0	0	
5月19日 22:39	辛苦USERNAME扛住压力马上就开始抓毒贩了	0	0	0	
5月18日 14:04	抱抱我USERNAME	0	0	0	
5月18日 14:35	哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈嘤嘤嘤	0	0	0	
5月18日 13:12	USERNAME不哭??带你来去买biangbiang的奶茶[哈]	0	0	0	
5月18日 13:16	天天不是在哭的路上，就是哭你还是个女一号吗	0	0	0	
5月18日 14:45	麦昆小白鞋大长腿实在是太惹眼	0	0	0	
5月18日 13:52	不得不说，整部剧就你演的稀烂……	1	1	1	
5月18日 14:45	哈哈哈哈哈USERNAME做错了什么！USERNAME很委屈！	0	0	0	
5月18日 14:46	USERNAME不哭，破婶儿抱抱你	0	0	0	
5月18日 13:13	哈哈哈，看来USERNAME忍住，给你糖，别哭了	0	0	0	
5月19日 02:41	知道USERNAMEUSERNAME没有感情线后看USERNAME就顺眼多啦，没事哈现在可以看你哭哭，谁让没有感情线了呢	0	0	0	
5月18日 14:40	能让USERNAME领盒饭吗？没戏还硬加戏有意思吗？	0	1	0	
5月18日 13:41	哭也没哭出水平~听着让人难受的要命~加油吧！	0	1	1	
5月31日 05:29	这部剧里只有看到你的镜头就想快进	0	0	0	
5月18日 14:36	红红火火恍恍惚惚哈哈哈	0	0	0	
5月19日 20:31	为什么和USERNAME不能有感情戏！！！虽然是昨天的热搜??我还是想问	0	0	0	
5月19日 15:15	看了这部戏，其他连一个小毒贩都演的挺好，就是你有几场戏，真的要吐槽，大晚上见包星，你也穿个超短裙。。。。	1	1	1	
5月19日 15:12	唉，跟USERNAME一点cp感都没有，总一副要哭不哭的样子，感觉太尴尬了	1	1	1	
5月18日 14:39	有谁可以告诉我发生了什么吗？我有一点懵	0	0	0	
5月18日 14:37	莫名的想笑，哈哈哈哈哈	0	0	0	
5月18日 14:39	哈哈哈哈哈哈	0	0	0	
5月18日 14:39	硬是把USERNAME拍成了悲剧	0	0	0	
5月18日 14:35	加油，你是最胖的......不，口误.....是最棒的	0	0	0	
5月18日 14:46	你果然要和USERNAME在一起了吗？每天接送还说没有基	0	0	0	
5月18日 13:17	太可爱了吧	0	0	0	
5月18日 13:16	看见你就快进，被你弄的马上要弃剧了！	1	1	1	
5月18日 14:39	好好想想为什么整部剧不管是马文甚至到林灿麻子的角色都没人讨厌而唯独都在点名指责你不好好反思每天在微博抖机灵强行洗白你真的以为还只是人设的问题？？？？佛了	1	1	1	
5月29日 01:24	送你个外号陈爱哭(?;︵;`)	0	0	0	
5月18日 23:03	你可爱，哭也是可以的	0	0	0	
5月18日 14:39	哈哈哈，我为什么有点想笑呢？	0	0	0	
5月18日 14:41	哈哈哈哈可爱USERNAME	0	0	0	
5月18日 14:47	哈哈哈哈哈恍恍惚惚哈哈嘤嘤嘤	0	0	0	
5月18日 14:15	USERNAME，我喜欢你，你演的很棒！！	0	0	0	
5月18日 14:34	哭笑不得？	0	0	0	
5月18日 14:36	啥意思，一个搞笑，一个感动！	0	0	0	
5月22日 22:46	USERNAME：我能怎么办，我也不想哭啊	0	0	0	
5月18日 14:46	哈哈哈哈，USERNAME你要不要这么可爱呢。不要哭了我带你去买冰糖葫芦	0	0	0	
5月18日 14:45	哈哈哈，谁都逃不过真香定律，太可爱了	0	0	0	
5月18日 14:36	USERNAME不哭，我给你糖吃啊[笑]	0	0	0	
5月18日 14:37	USERNAME不哭，抱抱你	0	0	0	
5月18日 14:35	USERNAME，咱不哭咱不哭	0	0	0	
5月19日 21:56	姐你上热搜了，加油	0	0	0	
5月19日 21:18	看完爱上你了	0	0	0	
5月19日 17:35	还是来一个box吧	0	0	0	
5月19日 17:31	USERNAME姐p的那张图私发给我	0	0	0	
5月19日 06:20	抱抱抱抱抱抱抱抱抱抱抱抱	0	0	0	
5月19日 00:57	真的不想看你的镜头	0	1	0	
5月19日 00:35	哭，我就喜欢看你哭	0	0	0	
5月18日 20:52	最近几集表现不错，不拖拉，一气呵成，入戏了，比前面20集表现强太多	0	0	0	
5月18日 16:12	迷死你	0	0	0	
5月18日 15:32	李墨汁就是個傻子哈哈哈哈哈哈哈哈哈嗝	0	0	0	
5月18日 15:06	哭成这样感觉需要三百杯奶茶才能安抚幼小的心灵	0	0	0	
5月18日 13:36	哈哈哈哈USERNAME太可爱了	0	0	0	
5月18日 14:35	USERNAME式汪汪汪	0	0	0	
5月18日 13:13	哈哈超喜欢USERNAME	0	0	0	
5月19日 22:26	主要你哭戏迷眼泪太假了	0	1	1	
5月31日 10:51	我知道你一直在努力	0	0	0	
5月30日 22:49	哈哈哈哈哈太可爱了八	0	0	0	
5月30日 08:22	你是演技不行	0	0	0	
5月30日 00:36	看到USERNAME，为什么让我想起了，USERNAME！.....我是在看青春呕吐剧吗...	1	0	1	
5月26日 01:50	哈哈哈哈哈本来我还挺讨厌你的??结果你发的微博太好笑了	0	0	0	
5月23日 06:25	这是在内涵导演吗	0	0	0	
5月22日 13:03	我被第二张图笑出猪叫声。有没有觉得这小姑娘像年轻时候的牛莉	0	0	0	
5月20日 14:56	就很想发给你哈哈哈哈哈哈哈哈	0	0	0	
5月20日 09:09	哈哈哈哈哈哈哈你好可爱，没事没事抱抱	0	0	0	
5月20日 01:42	没想到USERNAME这么逗哈哈哈哈哈	0	0	0	
5月20日 00:49	好好磨练演技吧，演技垫底戏份还那么多，观众怎么受得了。	1	1	1	
5月19日 23:57	姐姐求生欲望好重啊	0	0	0	
5月19日 23:42	哈哈哈笑死每天在USERNAME好烦和USERNAME好可爱两种情绪中徘徊	0	0	0	
5月19日 23:14	哈哈哈USERNAME实力委屈	0	0	0	
5月21日 21:07	你哭就哭，倒是掉眼泪啊，演技这么差，谁让你出来污人眼睛的	0	0	0	
6月2日 23:44	我不相信大家说你和导演有一腿，	0	0	0	
5月25日 08:25	不是哭不对是哭的太差了	0	0	0	
5月24日 01:02	你不要出演了真的看都都想吐	1	1	1	
5月23日 18:55	快下线吧........太惹人厌了，s   b	1	1	1	
5月23日 18:56	快下线吧.......求你.......太惹人厌了	1	1	1	
5月21日 16:42	戏渣！看到女的就快进！	1	1	1	
5月20日 13:15	不说哭湘仔被爆头USERNAME演很害怕我完全没看出来她很害怕啊…很尬演技有待提升进步空间很大加油！	1	0	1	
5月20日 11:42	一看到USERNAME就想快进……奈何还有我USERNAME的镜头真的烦	1	1	1	
5月19日 22:35	观众是有毒么？	1	0	0	
5月19日 21:59	很好奇你是带了多少投资进组	1	0	1	
5月19日 05:59	因腿而来	0	0	0	
6月8日 05:13	观后感即是，你～USERNAME，所有出境的戏份儿，完完全全是硬生生加进去的吧？爱奇艺出品，就是为了捧你吧？一副苦瓜相就算了，真是上戏的？哦，忘了，艺术院校不比剧里的情况水浅，姐们儿你的演技，是真心不敢恭维！！！！！	1	0	1	
6月8日 02:44	哈哈哈哈哈哈哈哈哈，有点可爱	0	0	0	
6月7日 03:05	后面那个路灯都演得比你好	0	1	0	
6月5日 04:28	神经病?	1	1	1	
6月5日 04:29	神经病	1	1	1	
6月3日 14:58	拍完这部戏你会发现你的好友列表少了好多人	0	0	0	
6月3日 10:17	心疼你。。。	0	0	0	
6月2日 15:13	噗USERNAME做错了什么，USERNAME好无辜啊怎么救汪汪汪了他平时都这么玩的吗好可爱	0	0	0	
6月2日 11:05	戏中在哭、微博就不要再哭了好吗？	0	0	0	
6月2日 09:47	眼神有点像陈乔恩	0	0	0	
5月31日 22:55	你也太可爱了吧哈哈哈哈哈。	0	0	0	
5月16日 17:29	是的！USERNAME一心只有缉毒工作！！	0	0	0	
5月16日 17:33	USERNAME心里只有人民和国家	0	0	0	
5月16日 18:18	我们USERNAME是个没得感情的破案机器，破案重要，祖国的缉毒事业最重要	0	0	0	
5月16日 17:30	USERNAME情商真的高，他认真的代入了USERNAME的情感，把这段感情界定的非常清晰，给USERNAME点赞！！！	0	0	0	
5月16日 17:33	USERNAME最爱的是什么！缉毒！缉毒！缉毒！	0	0	0	
5月16日 17:29	我USERNAME心里只有缉毒事业！！！	0	0	0	
5月16日 17:29	我们USERNAME跟塔寨村锁死了！！	0	0	0	
5月16日 17:30	我们USERNAME一心工作！??	0	0	0	
5月16日 17:29	USERNAME一心缉毒，对好友更是照顾	0	0	0	
5月16日 17:31	USERNAME一心只有缉毒事业	0	0	0	
5月16日 17:30	飞sir超级正	0	0	0	
5月17日 12:56	正正正，看别的类型的剧就算了，这种严肃的缉毒片还是少有感情戏	0	0	0	
5月17日 08:26	这下可以放心追剧了	0	0	0	
5月17日 07:44	USERNAME就坐在旁边	0	0	0	
5月17日 00:34	悄咪咪问一句和雯姐呢？	0	0	0	
5月16日 22:50	USERNAME要工作	0	0	0	
5月16日 22:40	USERNAME的体贴又不过界的照顾	0	0	0	
5月16日 21:38	什么？？不爱我们雯姐咩？	0	0	0	
5月16日 20:46	这个场合，这衣服也是醉了	0	1	0	
5月16日 19:37	相对能体贴的感受到温暖但又不过界的照顾真的很绅士了USERNAME对宋扬的女朋友如是	0	0	0	
5月16日 19:34	和雯姐也没有所以我看不到猎鹰突击队队员和缉毒警甜美的故事了是吗算了算了都上交国！	0	0	0	
5月16日 18:29	你的演技好尬啊[捂脸][笑哭]	1	0	1	
5月16日 18:46	NPC辛苦了(≧?≦)/	0	0	0	
5月16日 18:52	别担心大家都是对角色啦	0	0	0	
5月16日 20:24	可是左处问USERNAMEUSERNAME和USERNAME什么关系的时候，USERNAME说“一见钟情”的神态，我感觉是在说USERNAME对USERNAME一见钟情啊我支持你和USERNAME在一起	0	0	0	
5月16日 18:24	就是好好办案别整感情了只是听不到墨汁温柔的声线有些感伤	0	0	0	
5月17日 01:12	哈哈哈哈哈，USERNAME必须母胎单身	0	0	0	
5月17日 09:02	既然你们两个已经锁住了??那我就不追了	0	0	0	
5月16日 18:17	送我个爱奇艺会员吧	0	0	0	
5月16日 18:16	哈哈[哈哈]	0	0	0	
5月16日 19:06	谢谢啊	0	0	0	
5月16日 18:49	所以USERNAME在这里单了吗	0	0	0	
5月16日 18:43	我已经被这对CP给锁锁死了	0	0	0	
5月16日 18:26	哈哈哈哈USERNAME这求生欲可爱！	0	0	0	
5月16日 18:26	为我昨天的**自罚一杯逼对不起了	0	0	0	
6月5日 21:02	没你他们能这么惨？	1	1	0	
5月31日 18:42	你有个吊用	1	1	1	
5月31日 18:42	你有个diao用	1	1	1	
5月23日 00:38	我一个中立派??看USERNAME和USERNAME有莫名的cp感??不喜勿喷	0	0	0	
5月18日 21:21	哈哈哈哈不会再有人闹事了	0	0	0	
5月18日 17:29	电视里我希望和雯姐！现实中别跟[鲸鱼]一起就行！	0	0	0	
5月18日 01:22	USERNAME求生欲很强了哈哈哈哈	0	0	0	
5月16日 23:08	那USERNAME呢？	0	0	0	
5月16日 21:49	朋友好啊，毕竟USERNAME是个凭实力单身的人	0	0	0	
5月16日 21:30	只有我觉得USERNAME像cqe么	0	0	0	
5月16日 20:33	USERNAMEUSERNAME颜值真的太抗打但是USERNAME是个小哭包我喜欢USERNAME不喜欢USERNAME哈哈哈哈	0	0	0	
5月16日 20:09	USERNAME有点可爱呀	0	0	0	
5月16日 20:07	！！原来早已透露了真相祝你们幸福??	0	0	0	
5月16日 19:47	抱抱USERNAME，	0	0	0	
5月16日 19:37	USERNAME可爱	0	0	0	
5月16日 19:35	这个小护士有点儿可爱～	0	0	0	
5月16日 19:33	哈哈哈哈哈哈哈哈哈哈嗝	0	0	0	
5月16日 19:30	李飛锁塔寨	0	0	0	
5月16日 19:23	赵嘉良和USERNAME怎么没有线	0	0	0	
5月16日 19:13	USERNAME真的好懂哦啊哈哈哈哈哈哈	0	0	0	
5月16日 19:09	哈哈顶着群众的口水之下情情爱爱算什么	0	0	0	
5月16日 19:01	这强大的求生欲	0	0	0	
5月16日 19:01	像飞哥这样的能有爱情	0	0	0	
5月16日 18:54	墨汁窥屏吗？？？？？	0	0	0	
5月16日 18:53	我一直以为有呢原来没有	0	0	0	
5月16日 18:53	可爱的USERNAME	0	0	0	
5月16日 18:41	不允许我的首页还有人没看过这部剧，真的好好看，主演演技很棒。	0	0	0	
5月16日 18:37	饶了墨汁USERNAME吧	0	0	0	
5月16日 18:36	哈哈哈哈，没错，USERNAME和塔寨分不开了USERNAME这个母胎直男solo莫得感情，只有工作	0	0	0	
5月16日 18:31	哈哈哈哈哈??当好npc	0	0	0	
5月16日 18:27	辛苦了	0	0	0	
5月16日 18:27	家暴男还没糊	1	1	1	
5月17日 00:26	这评论都好假	0	0	1	
5月18日 23:21	评论里竟然没人骂你？求你去看看话题吧……这部剧有你真是败笔！	1	1	1	
5月18日 08:31	你的演技真的很尴尬	1	1	1	
5月17日 21:31	在这部剧里演技最差，有待提高！	1	1	1	
5月17日 21:13	你是这个剧的最大败笔，完全多余，硬凑剧情，后台真硬，狂加戏，但是就你这演技，绝对红不了	1	1	1	
5月17日 20:46	你的演技很尴尬，尤其是讨厌你硬挤眼泪都挤不出来在那里使劲抽鼻子的时候，看到你就快进	1	1	1	
5月17日 13:15	没演技。哭的时候是滴的眼药水吧	1	1	1	
5月16日 23:51	你咋这么逗呢	0	0	0	
5月16日 18:38	USERNAME和蔡永强可以	0	0	0	
5月16日 18:28	好的！！！USERNAME和塔寨锁了	0	0	0	
5月31日 14:36	怎么觉得这箭头全部标反了	0	0	0	
5月31日 01:05	我觉得你的颜值超级Nice！最后从塔寨出来的时候（USERNAME中枪后）你演的哭戏挺好的啊	0	0	0	
5月30日 23:31	哈哈哈求生欲很强了，本来看完USERNAME很生气。看完你微博觉得这个可能是角色的原因。已看完，确认没有感情戏。	0	0	0	
5月29日 23:15	画错了，这个图应该是李维民男主角，USERNAME女主角，USERNAME路人甲，USERNAME路人乙	0	0	0	
5月27日 00:04	哈哈哈哈哈求生欲好强啊！！	0	0	0	
5月23日 22:59	还好USERNAME和USERNAME只是朋友不然一大堆人弃剧	0	0	0	
5月22日 13:19	求生欲哈哈哈哈哈哈哈哈哈哈笑死我了	0	0	0	
5月20日 11:03	希望你们会在一起	0	0	0	
5月20日 01:27	加油鸭	0	0	0	
5月20日 01:12	哈哈哈哈哈哈哈哈USERNAME你的求生欲已经溢出屏幕了	0	0	0	
5月19日 23:21	加油的	0	0	0	
5月19日 21:58	我是个npc，我莫得感情	0	0	0	
5月19日 19:05	这个赵嘉良和伪装者里面的明楼一样双重身份	0	0	0	
5月19日 19:02	赵嘉良是安排在毒档的卧底，同时USERNAME的父亲。	0	0	0	
5月19日 16:52	求生欲好强啊哈哈	0	0	0	
5月19日 16:42	还差一个陈光荣的哥哥：市长陈光泽没有画	0	0	0	
5月19日 13:14	求生欲爆棚了USERNAME	0	0	0	
5月19日 12:30	USERNAMEUSERNAME不要怕，不是针对你，是USERNAME就是个没有感情线的男主跟谁都可以组cp，唯独女孩不行[捂脸][捂脸][捂脸]	0	0	0	
5月19日 00:16	剧里不是说辉叔比USERNAME、华叔大一辈？	0	0	0	
5月18日 13:55	求生欲很强的墨汁USERNAME	0	0	0	
5月17日 15:54	我雯姐呢？我雯姐和USERNAME没箭头?	0	0	0	
5月17日 14:42	他和USERNAME呢，有没有感情线	0	0	0	
5月17日 11:31	USERNAME我爱你	0	0	0	
5月17日 11:10	有没有人说你很像冯绍峰啊越看越像	0	0	0	
5月17日 09:11	我觉得你有一点像陈乔恩耶	0	0	0	
5月17日 07:54	求生欲很强了哈哈哈	0	0	0	
5月17日 01:20	哈哈哈，那就锁死吧	0	0	0	
5月16日 23:41	能撮合下USERNAME跟USERNAME吗	0	0	0	
5月14日 10:58	狄仁杰看着怀里的妻子说：这世道不仁，为什么我的名字里面要有仁字？我不服！妻子看着他说：你到底想说什么？狄仁杰望着妻子的眼睛温柔地说到：如果我是狄杰你会爱我吗？?	0	0	0	
5月14日 11:00	两根牙签在路上看到刺猬，说：“公交车公交车”	0	0	0	
5月14日 11:01	今天我养的老鼠病了我给它吃了老鼠药希望明天它会好起来	0	0	0	
5月14日 11:04	麻雀妈妈问麻雀想梳什么头，麻雀说??“啾啾”，妈妈说，“啾啾就啾啾”。	0	0	0	
5月14日 11:05	杀马特阿强意外死亡，他的妈妈哭得昏天黑地，真是白发人送赤橙黄绿青蓝紫发人。	0	0	0	
5月14日 11:09	楼下溜狗，有个小女孩跑到狗狗面前，问我：“阿姨，可以摸一下狗狗吗？”我：“叫姐姐！”小女孩：“阿姨，可以摸一下姐姐吗？”	0	1	1	
5月14日 11:19	有一天，小白兔和大象一起上厕所。大象问小白兔：“你掉毛吗？”小白兔羞涩地回答说：“不掉。”大象又问：“那你怕脏吗？”小白兔更羞涩了，说：“不怕。”然后大象就拿小白兔擦屁股了。	0	0	0	
5月14日 11:03	小全摘下了USERNAME海就变成了什么。USERNAME八	0	0	0	
5月14日 11:05	哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈	0	0	0	
5月14日 11:08	日出的时候，向日葵一个猛回头	0	0	0	
5月14日 11:19	有一天，有只鸡走在路上滑倒了，这就是滑鸡的故事。	0	0	0	
5月14日 11:02	从前有个人姓铁，他从小就不长头发，请问他得了什么病？老铁没毛病！	0	0	0	
5月14日 11:01	帅哥都喜欢美女，如果他不喜欢我，他就不是帅哥	0	0	0	
5月14日 10:57	s?b	1	1	1	
5月14日 10:58	我有一个，外国人在手上刺青刺了“仁”字，中国朋友都表示非常欣赏。一天天气太热，这位脱下了外套，只见他的手臂上四个大字“滑蛋虾仁”	0	0	0	
5月14日 11:03	我妈跟我视频我一次都没敢接，因为我染了橙头发	0	0	0	
5月14日 11:17	从前有一片玉米地，每天都会有一只小鸟从上面飞过。一天玉米地着火了，把玉米都烧成了爆米花，小鸟再飞过去的时候被冻死了。为什么呢，因为小鸟以为下雪了。好吧我也被自己冷到了	0	0	0	
5月14日 11:00	有一个时尚博主发了他的爆炸发型，有一个很幽默的人评价-狮子。	0	0	0	
5月14日 11:06	这个是真的好笑我笑了半天哈哈哈哈哈哈	0	0	0	
5月14日 10:59	小明和小红约好放学在学校后山的小树林碰头，于是就得了脑震荡。	0	0	0	
5月14日 11:01	最近在用增高药效果还挺明显的高了两三厘米就是一粒一粒的放在鞋里有点硌脚	0	0	0	
5月14日 11:12	公交车上很挤，站我前面的人突然回头对我说：“你挤个鸡ba！”我说：“一个。”	1	0	1	
5月14日 11:17	语文老师正在讲台上诵读《永遇乐·京口北固亭怀古》我对同桌说：“这首词是辛弃疾写的…”同桌看了我一眼，打断我的话：“我怎么知道？可能是星期天吧	0	0	0	
5月14日 11:02	滴滴打车之所以不叫滴滴打的，是因为后者太像唢呐。	0	0	0	
5月14日 11:18	这个真的可以算我今年目前看到的搞笑前三名	0	0	0	
5月16日 01:15	有只未成年小龙被爸爸揍了，因为它偷看成龙电影。	0	0	0	
5月16日 00:13	小猪佩奇做梦梦见自己长大变成了一个水手，妈妈说梦和现实是相反的，于是佩奇长大成为了一个火腿。	0	0	0	
5月15日 22:42	唐僧被妖精抓住了，妖精扭来扭去说：唐僧唐僧你快尝尝我吧。唐僧说：为什么我要尝。妖精说：因为我鲜呀，你快来舔舔。唐僧吃了后称鲜到爆，问妖精：你为什么这么鲜呀？那个妖精说：因为我是鸡精呀！！！哈哈哈哈哈	0	0	0	
5月15日 01:41	女人可能会欺骗你兄弟也可能会背叛你但数学不会数学不会就是不会	0	0	0	
5月14日 12:30	这个有点好笑哦	0	0	0	
5月14日 11:36	有一句话叫做虎毒不食子，专家建议在野外碰到老虎的求生方式是马上跪下叫爸爸。	0	0	0	
5月15日 23:51	女娲一边捏土一边笑，盘古问她怎么了？女娲回答：“做人呐，最重要的就是开心。”	0	0	0	
5月14日 11:17	泰坦尼克号为什么会沉？因为杰克把罗丝弄松了（对不起	0	0	0	
5月15日 22:53	从前有个人去纹身，要纹精忠报国，纹了好久他问怎么还没弄完，纹身师回答说，快了，已经纹到马蹄南去人北望了。	0	0	0	
5月14日 11:07	我看一次笑一次，我的年度笑话！	0	0	0	
5月14日 14:51	是时候拿出自己珍藏多年的图了	0	0	0	
